196	63.5 	19.2 	17.3 
198	63.5 	19.2 	17.3 
199	63.5 	19.2 	17.3 
201	63.5 	19.2 	17.3 
202	63.5 	19.2 	17.3 
204	63.5 	19.2 	17.3 
205	63.5 	19.2 	17.3 
207	63.5 	19.2 	17.3 
208	63.5 	19.2 	17.3 
210	63.5 	19.2 	17.3 
211	63.5 	19.2 	17.3 
213	63.5 	19.2 	17.3 
215	63.5 	19.2 	17.3 
216	63.5 	19.2 	17.3 
218	63.5 	19.2 	17.3 
220	63.5 	19.2 	17.3 
221	63.5 	19.2 	17.3 
224	82.1 	6.7 	11.3 
225	82.1 	6.7 	11.3 
228	82.1 	6.7 	11.3 
229	82.1 	6.7 	11.3 
231	68.3 	15.1 	16.6 
232	68.3 	15.1 	16.6 
233	68.3 	15.1 	16.6 
234	68.3 	15.1 	16.6 
235	68.3 	15.1 	16.6 
237	68.3 	15.1 	16.6 
238	68.3 	15.1 	16.6 
239	68.3 	15.1 	16.6 
240	68.3 	15.1 	16.6 
241	68.3 	15.1 	16.6 
242	68.3 	15.1 	16.6 
243	68.3 	15.1 	16.6 
244	68.3 	15.1 	16.6 
246	68.3 	15.1 	16.6 
247	68.3 	15.1 	16.6 
248	68.3 	15.1 	16.6 
249	68.3 	15.1 	16.6 
250	68.3 	15.1 	16.6 
252	57.6 	13.5 	29 
253	57.6 	13.5 	29 
255	57.6 	13.5 	29 
256	57.6 	13.5 	29 
257	38.2 	36.6 	25.2 
258	22.4 	24.5 	53 
260	22.4 	24.5 	53 
261	22.4 	24.5 	53 
262	22.4 	24.5 	53 
263	22.4 	24.5 	53 
264	22.4 	24.5 	53 
265	22.4 	24.5 	53 
266	22.4 	24.5 	53 
267	22.4 	24.5 	53 
268	22.4 	24.5 	53 
269	22.4 	24.5 	53 
270	22.4 	24.5 	53 
272	22.4 	24.5 	53 
273	22.4 	24.5 	53 
274	22.4 	24.5 	53 
276	22.4 	24.5 	53 
277	22.4 	24.5 	53 
278	22.4 	24.5 	53 
279	22.4 	24.5 	53 
280	22.4 	24.5 	53 
281	22.4 	24.5 	53 
283	25.1 	12.2 	62.7 
285	25.1 	12.2 	62.7 
286	25.1 	12.2 	62.7 
287	25.1 	12.2 	62.7 
288	25.1 	12.2 	62.7 
290	25.1 	12.2 	62.7 
291	25.1 	12.2 	62.7 
292	25.1 	12.2 	62.7 
293	25.1 	12.2 	62.7 
294	25.1 	12.2 	62.7 
295	25.1 	12.2 	62.7 
297	72.8 	10.5 	16.8 
300	54.8 	20.6 	24.9 
303	54.8 	20.6 	24.9 
305	54.8 	20.6 	24.9 
306	54.8 	20.6 	24.9 
308	54.8 	20.6 	24.9 
309	54.8 	20.6 	24.9 
310	54.8 	20.6 	24.9 
311	54.8 	20.6 	24.9 
313	54.8 	20.6 	24.9 
314	54.8 	20.6 	24.9 
315	54.8 	20.6 	24.9 
318	48.7 	29.9 	21.6 
320	48.7 	29.9 	21.6 
322	48.7 	29.9 	21.6 
323	48.7 	29.9 	21.6 
324	48.7 	29.9 	21.6 
328	48.7 	29.9 	21.6 
329	48.7 	29.9 	21.6 
331	76 	8 	16.1 
333	64.6 	21.1 	14.4 
334	64.6 	21.1 	14.4 
335	49.2 	26 	24.8 
336	49.2 	26 	24.8 
337	49.2 	26 	24.8 
339	49.2 	26 	24.8 
340	49.2 	26 	24.8 
341	49.2 	26 	24.8 
343	50.4 	29 	20.6 
348	50.4 	29 	20.6 
349	50.4 	29 	20.6 
352	50.4 	29 	20.6 
354	50.4 	29 	20.6 
356	50.4 	29 	20.6 
357	50.4 	29 	20.6 
358	50.4 	29 	20.6 
360	63.5 	17.9 	18.7 
361	63.5 	17.9 	18.7 
362	63.5 	17.9 	18.7 
363	63.5 	17.9 	18.7 
366	63.5 	17.9 	18.7 
367	63.5 	17.9 	18.7 
368	63.5 	17.9 	18.7 
369	63.5 	17.9 	18.7 
371	63.5 	17.9 	18.7 
372	63.5 	17.9 	18.7 
374	63.5 	17.9 	18.7 
376	63.5 	17.9 	18.7 
378	49 	10.7 	40.3 
379	39.5 	23.4 	37.2 
380	39.5 	23.4 	37.2 
381	47.8 	8.5 	43.8 
383	47.8 	8.5 	43.8 
385	43.2 	24.6 	32.4 
387	43.2 	24.6 	32.4 
388	43.2 	24.6 	32.4 
389	43.2 	24.6 	32.4 
390	43.2 	24.6 	32.4 
391	43.2 	24.6 	32.4 
392	43.2 	24.6 	32.4 
394	19.2 	37.6 	43.1 
