*SOIL WATER DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 2003 103    47   199      7     74    299     1    13   136  0.114  0.233  0.226  0.209  0.173  0.295  0.294  0.293  0.293  0.000
 2003 104    48   194      7     78    299     1    13   136  0.100  0.214  0.213  0.202  0.171  0.294  0.294  0.293  0.293  0.000
 2003 105    49   190      7     81    299     1    13   136  0.091  0.198  0.202  0.196  0.170  0.294  0.294  0.293  0.293  0.000
 2003 106    50   187      7     83    299     1    13   136  0.084  0.185  0.195  0.192  0.169  0.294  0.294  0.293  0.293  0.000
 2003 107    51   185      7     84    299     1    13   136  0.079  0.175  0.189  0.188  0.168  0.294  0.294  0.293  0.293  0.000
 2003 108    52   183      7     85    299     1    13   136  0.076  0.166  0.184  0.185  0.168  0.294  0.294  0.293  0.293  0.000
 2003 109    53   182      7     85    299     1    13   136  0.073  0.160  0.179  0.183  0.168  0.294  0.294  0.293  0.293  0.000
 2003 110    54   181      7     86    299     1    13   136  0.070  0.154  0.175  0.182  0.168  0.294  0.294  0.293  0.293  0.000
 2003 111    55   180      7     86    299     1    13   136  0.067  0.149  0.172  0.180  0.168  0.294  0.294  0.293  0.293  0.000
 2003 112    56   178      7     86    299     1    13   136  0.063  0.143  0.168  0.179  0.168  0.294  0.294  0.293  0.293  0.000
 2003 113    57   177      7     86    299     1    13   136  0.059  0.137  0.165  0.178  0.168  0.294  0.294  0.293  0.293  0.000
 2003 114    58   176      7     86    299     1    13   136  0.055  0.132  0.162  0.177  0.168  0.294  0.294  0.293  0.293  0.000
 2003 115    59   203      7     86    327     1    13   136  0.323  0.243  0.179  0.179  0.168  0.294  0.294  0.294  0.293  0.000
 2003 116    60   199      7     86    329     1    13   136  0.227  0.239  0.192  0.185  0.168  0.294  0.294  0.294  0.293  0.000
 2003 117    61   192      7     89    329     1    13   136  0.158  0.218  0.184  0.183  0.167  0.294  0.294  0.294  0.293  0.000
 2003 118    62   188      7     91    329     1    13   136  0.125  0.199  0.177  0.181  0.167  0.294  0.294  0.294  0.293  0.000
 2003 119    63   184      7     92    329     1    13   136  0.104  0.182  0.172  0.179  0.167  0.294  0.294  0.294  0.293  0.000
 2003 120    64   187      7     92    336     1    13   136  0.170  0.173  0.170  0.179  0.168  0.294  0.294  0.294  0.293  0.000
 2003 121    65   183      7     92    337     1    13   136  0.120  0.164  0.166  0.178  0.167  0.294  0.294  0.294  0.293  0.000
 2003 122    66   184      7     92    343     1    13   136  0.158  0.159  0.161  0.176  0.167  0.294  0.294  0.294  0.293  0.000
 2003 123    67   181      7     92    344     1    13   136  0.124  0.153  0.158  0.174  0.167  0.294  0.294  0.294  0.293  0.000
 2003 124    68   177      7     92    344     1    13   136  0.084  0.140  0.151  0.172  0.166  0.294  0.294  0.294  0.293  0.000
 2003 125    69   173      7     92    344     1    13   136  0.058  0.125  0.144  0.169  0.166  0.294  0.294  0.294  0.293  0.000
 2003 126    70   169      7     92    344     1    13   136  0.042  0.109  0.135  0.165  0.165  0.294  0.294  0.294  0.293  0.000
 2003 127    71   166      7     92    344     1    13   136  0.031  0.093  0.127  0.162  0.164  0.294  0.294  0.294  0.293  0.000
 2003 128    72   163      7     92    344     1    13   136  0.030  0.077  0.116  0.158  0.163  0.293  0.294  0.294  0.293  0.000
 2003 129    73   159      7     92    344     1    13   136  0.029  0.067  0.096  0.151  0.161  0.293  0.294  0.294  0.293  0.000
 2003 130    74   155      7     92    344     1    13   136  0.029  0.064  0.071  0.142  0.159  0.293  0.294  0.294  0.293  0.000
 2003 131    75   151      7     92    344     1    13   136  0.034  0.058  0.060  0.123  0.155  0.293  0.294  0.294  0.293  0.000
 2003 132    76   147      7     92    344     1    13   136  0.034  0.054  0.056  0.094  0.149  0.292  0.294  0.294  0.293  0.000
 2003 133    77   143      7     92    344     1    13   136  0.028  0.051  0.054  0.065  0.143  0.291  0.294  0.294  0.293  0.000
 2003 134    78   141      7     92    344     1    13   136  0.028  0.049  0.050  0.064  0.133  0.289  0.294  0.294  0.293  0.000
 2003 135    79   140      7     92    346     1    13   136  0.058  0.047  0.048  0.062  0.124  0.288  0.293  0.294  0.293  0.000
 2003 136    80   137      7     92    346     1    13   136  0.039  0.045  0.046  0.061  0.115  0.286  0.293  0.294  0.293  0.000
 2003 137    81   135      7     92    346     1    13   136  0.028  0.044  0.045  0.059  0.106  0.284  0.292  0.294  0.293  0.000
 2003 138    82   140      7     92    353     1    13   136  0.174  0.043  0.044  0.058  0.097  0.281  0.292  0.294  0.293  0.000
 2003 139    83   137      7     92    354     1    13   136  0.104  0.048  0.044  0.057  0.096  0.280  0.291  0.294  0.293  0.000
 2003 140    84   134      7     92    354     1    13   136  0.042  0.048  0.043  0.057  0.096  0.279  0.291  0.294  0.293  0.000
 2003 141    85   132      7     92    354     1    13   136  0.028  0.046  0.042  0.056  0.094  0.277  0.290  0.294  0.293  0.000
 2003 142    86   146      7     92    368     1    13   136  0.287  0.063  0.042  0.055  0.093  0.275  0.289  0.294  0.293  0.000
 2003 143    87   143      7     92    368     1    13   136  0.199  0.077  0.042  0.055  0.093  0.274  0.288  0.293  0.293  0.000
 2003 144    88   136      7     92    368     1    13   136  0.101  0.067  0.042  0.055  0.093  0.273  0.288  0.293  0.293  0.000
 2003 145    89   132      7     92    368     1    13   136  0.042  0.060  0.042  0.055  0.093  0.272  0.287  0.293  0.293  0.000
 2003 146    90   130      7     92    368     1    13   136  0.028  0.053  0.042  0.054  0.091  0.270  0.286  0.293  0.293  0.000
 2003 147    91   129      7     92    368     1    13   136  0.028  0.050  0.042  0.053  0.090  0.268  0.285  0.293  0.293  0.000
 2003 148    92   128      7     92    368     1    13   136  0.028  0.047  0.042  0.052  0.089  0.266  0.284  0.293  0.293  0.000
 2003 149    93   127      7     92    368     1    13   136  0.028  0.045  0.042  0.051  0.088  0.264  0.282  0.293  0.293  0.000
 2003 150    94   126      7     92    368     1    13   136  0.028  0.044  0.042  0.050  0.087  0.262  0.281  0.293  0.293  0.000
 2003 151    95   126      7     92    368     1    13   136  0.028  0.043  0.042  0.050  0.086  0.260  0.280  0.293  0.293  0.000
 2003 152    96   125      7     92    368     1    13   136  0.028  0.042  0.042  0.049  0.085  0.257  0.279  0.292  0.293  0.000
 2003 153    97   124      7     92    368     1    13   136  0.028  0.042  0.042  0.048  0.084  0.255  0.277  0.292  0.293  0.000
 2003 154    98   142      7     92    387     1    13   136  0.341  0.074  0.042  0.048  0.084  0.252  0.275  0.292  0.293  0.000
 2003 155    99   136      7     92    387     1    13   136  0.216  0.087  0.042  0.048  0.084  0.251  0.274  0.292  0.293  0.000
 2003 156   100   131      7     92    387     1    13   136  0.134  0.072  0.043  0.048  0.084  0.250  0.273  0.291  0.293  0.000
 2003 157   101   153      7     92    412     1    13   136  0.297  0.204  0.054  0.048  0.085  0.250  0.273  0.291  0.293  0.000
 2003 158   102   179      8     92    442     1    13   136  0.302  0.325  0.189  0.055  0.085  0.249  0.272  0.291  0.293  0.000
 2003 159   103   174      8     92    442     1    13   136  0.222  0.278  0.169  0.130  0.086  0.249  0.272  0.291  0.293  0.000
 2003 160   104   168      8     92    442     1    13   136  0.140  0.241  0.154  0.161  0.087  0.248  0.272  0.290  0.293  0.000
 2003 161   105   162      8     92    442     1    13   136  0.103  0.209  0.159  0.151  0.089  0.248  0.271  0.290  0.293  0.000
 2003 162   106   157      8     92    442     1    13   136  0.079  0.183  0.157  0.140  0.091  0.248  0.271  0.290  0.293  0.000
 2003 163   107   154      8     92    445     1    13   136  0.097  0.162  0.148  0.129  0.092  0.247  0.271  0.290  0.293  0.000
 2003 164   108   157      8     92    452     1    13   136  0.184  0.156  0.139  0.121  0.093  0.247  0.270  0.289  0.293  0.000
 2003 165   109   155      8     92    455     1    13   136  0.172  0.156  0.130  0.114  0.094  0.247  0.270  0.289  0.293  0.000
 2003 166   110   149      8     92    455     1    13   136  0.119  0.144  0.119  0.102  0.095  0.247  0.270  0.289  0.293  0.000
 2003 167   111   172      8     92    483     1    13   136  0.287  0.273  0.144  0.093  0.095  0.247  0.270  0.289  0.293  0.000
 2003 168   112   183      8     92    500     1    13   136  0.288  0.330  0.194  0.100  0.095  0.246  0.269  0.288  0.293  0.000
 2003 169   113   188      8     92    507     1    13   136  0.314  0.326  0.217  0.121  0.096  0.246  0.269  0.288  0.293  0.000
 2003 170   114   185      8     92    510     1    13   136  0.272  0.299  0.226  0.142  0.097  0.246  0.269  0.288  0.293  0.000
 2003 171   115   183      8     92    510     1    13   136  0.223  0.274  0.231  0.165  0.098  0.246  0.269  0.288  0.293  0.000
 2003 172   116   177      8     92    510     1    13   136  0.162  0.237  0.203  0.164  0.126  0.246  0.268  0.287  0.293  0.000
 2003 173   117   170      8     92    510     1    13   136  0.108  0.209  0.182  0.165  0.135  0.246  0.268  0.287  0.293  0.000
 2003 174   118   165      8     92    510     1    13   136  0.080  0.183  0.166  0.165  0.136  0.246  0.268  0.287  0.293  0.000
 2003 175   119   160      8     92    510     1    13   136  0.065  0.162  0.157  0.154  0.135  0.247  0.268  0.287  0.293  0.000
 2003 176   120   155      8     92    510     1    13   136  0.057  0.144  0.143  0.142  0.133  0.247  0.267  0.287  0.293  0.000
 2003 177   121   150      8     92    510     1    13   136  0.047  0.127  0.129  0.129  0.131  0.247  0.267  0.286  0.293  0.000
 2003 178   122   145      8     92    510     1    13   136  0.038  0.111  0.115  0.116  0.129  0.248  0.267  0.286  0.293  0.000
 2003 179   123   142      8     92    510     1    13   136  0.032  0.102  0.108  0.109  0.127  0.248  0.267  0.286  0.293  0.000
 2003 180   124   143      8     92    514     1    13   136  0.091  0.095  0.101  0.104  0.125  0.248  0.267  0.286  0.293  0.000
 2003 181   125   159      8     92    534     1    13   136  0.298  0.163  0.094  0.097  0.124  0.248  0.267  0.286  0.293  0.000
 2003 182   126   184      8     92    561     1    13   136  0.320  0.335  0.162  0.095  0.123  0.249  0.266  0.285  0.293  0.000
 2003 183   127   182      8     92    563     1    13   136  0.286  0.308  0.188  0.105  0.121  0.249  0.266  0.285  0.293  0.000
 2003 184   128   208     10     92    597     1    13   136  0.286  0.332  0.328  0.214  0.127  0.249  0.266  0.285  0.292  0.000
 2003 185   129   205     10     92    598     1    13   136  0.233  0.299  0.315  0.240  0.140  0.249  0.266  0.285  0.292  0.000
 2003 186   130   199     10     92    598     1    13   136  0.177  0.265  0.295  0.252  0.155  0.249  0.266  0.285  0.292  0.000
 2003 187   131   196     10     92    599     1    13   136  0.146  0.238  0.277  0.260  0.168  0.252  0.266  0.285  0.292  0.000
 2003 188   132   191     10     92    599     1    13   136  0.107  0.213  0.245  0.234  0.165  0.291  0.266  0.284  0.292  0.000
 2003 189   133   186     10     92    599     1    13   136  0.081  0.187  0.216  0.209  0.162  0.290  0.292  0.284  0.292  0.000
 2003 190   134   181     10     92    599     1    13   136  0.067  0.166  0.195  0.191  0.162  0.291  0.291  0.289  0.292  0.000
 2003 191   135   177     10     92    599     1    13   136  0.060  0.150  0.177  0.176  0.162  0.290  0.291  0.291  0.292  0.000
 2003 192   136   173     10     92    599     1    13   136  0.052  0.138  0.164  0.167  0.160  0.290  0.291  0.291  0.292  0.000
 2003 193   137   169     10     92    599     1    13   136  0.045  0.126  0.152  0.158  0.156  0.289  0.291  0.291  0.292  0.000
 2003 194   138   166     10     92    599     1    13   136  0.037  0.118  0.144  0.151  0.154  0.289  0.290  0.291  0.292  0.000
 2003 195   139   163     10     92    599     1    13   136  0.032  0.111  0.137  0.146  0.151  0.288  0.290  0.291  0.292  0.000
 2003 196   140   160     10     92    599     1    13   136  0.032  0.101  0.127  0.137  0.147  0.287  0.290  0.291  0.292  0.000
 2003 197   141   156     10     92    599     1    13   136  0.031  0.091  0.116  0.128  0.143  0.286  0.290  0.291  0.292  0.000
 2003 198   142   178     10     92    623     1    13   136  0.340  0.168  0.111  0.123  0.140  0.285  0.289  0.291  0.292  0.000
 2003 199   143   171     10     92    623     1    13   136  0.233  0.158  0.124  0.115  0.137  0.284  0.289  0.291  0.292  0.000
 2003 200   144   169     10     92    625     1    13   136  0.198  0.163  0.119  0.111  0.134  0.283  0.289  0.291  0.292  0.000
 2003 201   145   162     10     92    625     1    13   136  0.120  0.157  0.112  0.104  0.129  0.281  0.288  0.291  0.292  0.000
 2003 202   146   158     10     92    625     1    13   136  0.090  0.145  0.107  0.098  0.126  0.280  0.288  0.291  0.292  0.000
