*WATER BALANCE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS    SWTD    FWTD    SNTD   IRRD   PRED   DRND   ROFD   FROD   ESAD   EPAD   EFAD    WBAL   CUMWBAL       TOTS   TOTU   TOTX
 2003 096    40  339.78    0.00    0.00   0.00   0.00   0.77   0.00   0.00   0.77   0.01   0.00    0.00      0.01      -0.77   0.00  -0.01
 2003 097    41  347.09    0.00    0.00   0.00   8.60   0.00   0.00   0.00   1.29   0.01   0.00   -0.01      0.01       8.60   0.00  -0.01
 2003 098    42  370.48    0.00    0.00   0.00  24.40   0.22   0.00   0.00   0.78   0.01   0.00    0.00      0.00      24.18   0.00   0.00
 2003 099    43  383.47    0.00    0.00   0.00  15.00   0.22   0.16   0.00   1.63   0.00   0.00    0.00      0.01      14.62   0.00  -0.01
 2003 100    44  383.75    0.00    0.00   0.00   1.50   0.22   0.00   0.00   1.00   0.01   0.00    0.00      0.00       1.28   0.00   0.00
 2003 101    45  370.94    0.00    0.00   0.00   0.00   9.78   0.00   0.00   3.01   0.00   0.00    0.01      0.01      -9.78   0.00  -0.01
 2003 102    46  361.54    0.00    0.00   0.00   0.00   6.83   0.00   0.00   2.54   0.01   0.00    0.01      0.03      -6.83   0.00  -0.03
 2003 103    47  355.16    0.00    0.00   0.00   0.00   4.94   0.00   0.00   1.40   0.03   0.00    0.02      0.04      -4.94   0.00  -0.04
 2003 104    48  350.26    0.00    0.00   0.00   0.00   3.73   0.00   0.00   1.09   0.04   0.00    0.03      0.07      -3.73   0.00  -0.07
 2003 105    49  346.57    0.00    0.00   0.00   0.00   2.67   0.00   0.00   0.92   0.07   0.00    0.03      0.10      -2.67   0.00  -0.10
 2003 106    50  343.69    0.00    0.00   0.00   0.00   1.93   0.00   0.00   0.82   0.10   0.00    0.03      0.13      -1.93   0.00  -0.13
