*GROWTH ASPECTS OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2003 142    86    85   21.1      3   1.59   1159    213      0   1248   1372      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   2.53   0.00   0.00      0      0    137.6   0.00   0.00   0.76   4.00   4.00   3.98   2.11   0.35   0.05   0.02   0.00   0.00   0.00      0      0      0       0     699
 2003 143    87    86   21.4      3   1.63   1190    259      0   1273   1449      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   2.40   0.00   0.00      0      0    137.3   0.00   0.00   0.77   4.00   4.00   3.96   2.11   0.35   0.05   0.02   0.00   0.00   0.00      0      0      0       0     699
 2003 144    88    87   21.7      3   1.67   1221    309      0   1359   1531      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   2.21   0.00   0.00      0      0    137.1   0.00   0.00   0.77   4.00   4.00   3.96   2.12   0.35   0.05   0.02   0.00   0.00   0.00      0      0      0       0     766
 2003 145    89    88   22.0      3   1.72   1255    365      0   1436   1619      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   2.16   0.00   0.00      0      0    136.8   0.00   0.00   0.77   3.98   4.00   3.96   2.15   0.35   0.05   0.02   0.00   0.00   0.00      0      0      0       0     838
 2003 146    90    89   22.0      3   1.67   1255    382      0   1471   1637      0    0.0  0.000      0      0  0.540  0.694  0.000  0.000   2.14   0.00   0.00      0      0    133.1   0.00   0.00   0.78   3.96   4.00   3.94   2.18   0.36   0.05   0.02   0.00   0.00   0.00      0      0      0       0     838
 2003 147    91    90   22.0      3   1.62   1255    394      0   1491   1649      0    0.0  0.000      0      0  0.641  0.761  0.000  0.000   2.12   0.00   0.00      0      0    128.9   0.00   0.00   0.78   3.94   4.00   3.94   2.20   0.36   0.05   0.02   0.00   0.00   0.00      0      0      0       0     838
 2003 148    92    91   22.0      3   1.55   1255    401      0   1514   1655      0    0.0  0.000      0      0  0.774  0.850  0.000  0.000   2.11   0.00   0.00      0      0    123.9   0.00   0.00   0.78   3.92   4.00   3.92   2.23   0.36   0.05   0.02   0.00   0.00   0.00      0      0      0       0     838
 2003 149    93    92   22.0      3   1.49   1255    407      0   1530   1662      0    0.0  0.000      0      0  0.793  0.862  0.000  0.000   2.10   0.00   0.00      0      0    119.0   0.00   0.00   0.79   3.90   4.00   3.91   2.28   0.37   0.06   0.03   0.00   0.00   0.00      0      0      0       0     838
 2003 150    94    93   22.0      3   1.43   1255    414      0   1548   1669      0    0.0  0.000      0      0  0.780  0.854  0.000  0.000   2.09   0.00   0.00      0      0    114.3   0.00   0.00   0.79   3.88   4.00   3.89   2.37   0.38   0.06   0.03   0.00   0.00   0.00      0      0      0       0     838
 2003 151    95    94   22.0      3   1.38   1255    422      0   1561   1677      0    0.0  0.000      0      0  0.803  0.869  0.000  0.000   2.08   0.00   0.00      0      0    109.7   0.00   0.00   0.79   3.86   4.00   3.89   2.50   0.40   0.07   0.04   0.00   0.00   0.00      0      0      0       0     838
 2003 152    96    95   22.0      3   1.32   1255    430      0   1579   1685      0    0.0  0.000      0      0  0.761  0.841  0.000  0.000   2.07   0.00   0.00      0      0    105.6   0.00   0.00   0.79   3.84   3.98   3.87   2.93   0.46   0.08   0.06   0.00   0.00   0.00      0      0      0       0     838
 2003 153    97    96   22.0      3   1.27   1255    439      0   1596   1694      0    0.0  0.000      0      0  0.762  0.842  0.000  0.000   2.06   0.00   0.00      0      0    101.5   0.00   0.00   0.80   3.82   3.96   3.88   3.33   0.51   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 154    98    97   22.0      3   1.27   1255    481      0   1598   1736      0    0.0  0.000      0      0  0.000  0.172  0.000  0.000   2.01   0.00   0.00      0      0    101.5   0.00   0.00   0.80   3.91   4.00   3.86   3.31   0.51   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 155    99    98   22.0      3   1.27   1255    542      0   1649   1797      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.95   0.00   0.00      0      0    101.5   0.00   0.00   0.80   4.00   4.00   3.85   3.31   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 156   100    99   22.0      4   1.27   1255    631      0   1712   1886      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.85   0.00   0.00      0      0    101.5   0.00   0.00   0.81   4.00   4.00   3.86   3.31   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 157   101   100   22.0      4   1.27   1255    714      0   1707   1969      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.78   0.00   0.00      0      0    101.5   0.00   0.00   0.81   3.99   4.00   3.85   3.30   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 158   102   101   22.0      4   1.27   1255    801      0   1713   2056      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.70   0.00   0.00      0      0    101.5   0.00   0.00   0.82   3.97   4.00   3.95   3.30   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 159   103   102   22.0      4   1.27   1255    895      0   1743   2150      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.63   0.00   0.00      0      0    101.5   0.00   0.00   0.82   3.95   4.00   4.00   3.39   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 160   104   103   22.0      4   1.27   1255    993      0   1801   2248      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.56   0.00   0.00      0      0    101.5   0.00   0.00   0.83   3.94   4.00   4.00   3.60   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 161   105   104   22.0      4   1.27   1255   1089      0   1851   2344      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.49   0.00   0.00      0      0    101.5   0.00   0.00   0.83   3.93   4.00   4.00   3.77   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 162   106   105   22.0      4   1.27   1255   1187      0   1900   2442      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.43   0.00   0.00      0      0    101.5   0.00   0.00   0.84   3.91   4.00   4.00   3.94   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 163   107   106   22.0      4   1.27   1255   1283      0   1944   2538      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.38   0.00   0.00      0      0    101.5   0.00   0.00   0.84   3.90   4.00   4.00   4.00   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 164   108   107   22.0      4   1.27   1255   1378      0   1969   2632      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.33   0.00   0.00      0      0    101.5   0.00   0.00   0.85   3.88   4.00   4.00   4.00   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 165   109   108   22.0      4   1.27   1255   1470      0   1997   2725      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.28   0.00   0.00      0      0    101.5   0.00   0.00   0.85   3.87   4.00   4.00   4.00   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 166   110   109   22.0      4   1.27   1255   1564      0   2058   2819      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.24   0.00   0.00      0      0    101.5   0.00   0.00   0.86   3.86   4.00   4.00   4.00   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 167   111   110   22.0      4   1.27   1255   1659      0   2096   2914      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.20   0.00   0.00      0      0    101.5   0.00   0.00   0.86   3.84   4.00   4.00   4.00   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 168   112   111   22.0      4   1.27   1255   1750      0   2132   3005      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   1.16   0.00   0.00      0      0    101.5   0.00   0.00   0.87   3.83   4.00   4.00   4.00   0.50   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 169   113   112   22.0      5   1.27   1255   1166    543   2121   3100   7321    7.4  0.175    679      7  0.000  0.000  0.000  0.000   1.23   0.00   0.22      0    679    101.5   0.00   0.00   0.87   3.81   3.98   3.98   3.98   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 170   114   113   22.0      5   1.27   1255   1170    664   2113   3254   7321    9.1  0.204    830      7  0.000  0.000  0.000  0.000   1.18   0.00   0.25      0    830    101.5   0.00   0.00   0.88   3.79   3.98   3.98   3.97   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 171   115   114   22.0      5   1.27   1255   1135    781   2102   3366   7321   10.7  0.232    976      7  0.000  0.000  0.000  0.000   1.14   0.00   0.29      0    976    101.5   0.00   0.00   0.88   3.77   3.96   3.96   3.95   0.49   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 172   116   115   22.0      5   1.27   1255   1185    895   2116   3558   7321   12.2  0.251   1118      7  0.000  0.000  0.000  0.000   1.07   0.00   0.31      0   1118    101.5   0.00   0.00   0.89   3.75   4.00   4.00   4.00   0.52   0.10   0.07   0.00   0.00   0.00      0      0      0       0     838
 2003 173   117   116   22.0      5   1.27   1255   1225   1013   2133   3747   7321   13.8  0.271   1267      7  0.000  0.000  0.000  0.000   0.75   0.00   0.34      0   1267    101.5   0.00   0.00   0.89   3.74   4.00   4.00   4.00   0.56   0.10   0.07   0.00   0.00   0.00      0      0      0       0     945
 2003 174   118   117   22.0      5   1.27   1255   1225   1150   2149   3917   7321   15.7  0.294   1438      7  0.000  0.000  0.000  0.000   0.74   0.00   0.37      0   1438    101.5   0.00   0.00   0.89   3.72   4.00   4.00   4.00   0.60   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1052
 2003 175   119   118   22.0      5   1.27   1255   1225   1281   2163   4081   7321   17.5  0.314   1601      7  0.000  0.000  0.000  0.000   0.72   0.00   0.39      0   1601    101.5   0.00   0.00   0.90   3.71   4.00   4.00   4.00   0.63   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1161
 2003 176   120   119   22.0      5   1.27   1255   1225   1412   2180   4245   7321   19.3  0.333   1765      7  0.000  0.000  0.000  0.000   0.71   0.00   0.42      0   1765    101.5   0.00   0.00   0.90   3.69   4.00   4.00   4.00   0.68   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1270
 2003 177   121   120   22.0      5   1.27   1255   1225   1541   2198   4406   7321   21.0  0.350   1926      7  0.000  0.000  0.000  0.000   0.70   0.00   0.44      0   1926    101.5   0.00   0.00   0.91   3.68   4.00   4.00   4.00   0.72   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1379
 2003 178   122   121   22.0      5   1.27   1255   1225   1668   2217   4564   7321   22.8  0.365   2085      7  0.000  0.000  0.000  0.000   0.68   0.00   0.46      0   2085    101.5   0.00   0.00   0.91   3.66   4.00   4.00   4.00   0.77   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 179   123   122   22.0      5   1.27   1255   1225   1762   2209   4683   7321   24.1  0.376   2203      7  0.000  0.000  0.000  0.000   0.63   0.00   0.47      0   2203    101.5   0.00   0.00   0.92   3.64   4.00   4.00   3.99   0.77   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 180   124   123   22.0      5   1.27   1255   1220   1851   2198   4789   7321   25.3  0.387   2314      7  0.000  0.000  0.000  0.000   0.65   0.00   0.48      0   2314    101.5   0.00   0.00   0.92   3.62   3.98   3.98   3.97   0.76   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 181   125   124   22.0      5   1.27   1255   1225   1942   2194   4907   7321   26.5  0.396   2427      7  0.000  0.000  0.000  0.000   0.64   0.00   0.49      0   2427    101.5   0.00   0.00   0.93   3.61   4.00   4.00   3.98   0.77   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 182   126   125   22.0      5   1.27   1255   1182   2024   2183   4967   7321   27.6  0.408   2530      7  0.000  0.000  0.000  0.000   0.60   0.00   0.51      0   2530    101.5   0.00   0.00   0.93   3.59   3.98   3.98   3.96   0.77   0.09   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 183   127   126   22.0      5   1.27   1255   1191   2104   2177   5075   7321   28.7  0.414   2629      7  0.000  0.000  0.000  0.000   0.61   0.00   0.52      0   2629    101.4   0.00   0.00   0.94   3.57   3.98   4.00   3.96   0.77   0.09   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 184   128   127   22.0      5   1.26   1255   1224   2180   2183   5204   7321   29.8  0.419   2725      7  0.000  0.000  0.000  0.000   0.61   0.00   0.52      0   2725    100.3   0.00   0.00   0.94   3.56   3.99   4.00   4.00   0.81   0.09   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 185   129   128   22.0      5   1.25   1255   1225   2266   2184   5312   7321   31.0  0.427   2832      7  0.000  0.000  0.000  0.000   0.59   0.00   0.53      0   2832     99.2   0.00   0.00   0.95   3.54   3.99   4.00   4.00   0.85   0.09   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 186   130   129   22.0      5   1.23   1255   1225   2368   2203   5439   7321   32.3  0.435   2959      7  0.000  0.000  0.000  0.000   0.58   0.00   0.54      0   2959     98.1   0.00   0.00   0.95   3.53   4.00   4.00   4.00   0.94   0.09   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 187   131   130   22.0      5   1.22   1255   1225   2446   2204   5537   7321   33.4  0.442   3058      7  0.000  0.000  0.000  0.000   0.56   0.00   0.55      0   3058     97.0   0.00   0.00   0.96   3.51   3.99   4.00   4.00   0.98   0.09   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 188   132   131   22.0      5   1.20   1255   1225   2522   2205   5632   7321   34.4  0.448   3152      7  0.000  0.000  0.000  0.000   0.55   0.00   0.56      0   3152     95.8   0.00   0.00   0.96   3.50   3.98   4.00   4.00   1.02   0.10   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 189   133   132   22.0      5   1.19   1255   1225   2616   2227   5750   7321   35.7  0.455   3270      7  0.000  0.000  0.000  0.000   0.54   0.00   0.57      0   3270     94.6   0.00   0.00   0.97   3.49   3.99   4.00   4.00   1.14   0.13   0.07   0.00   0.00   0.00      0      0      0       0    1490
 2003 190   134   133   22.0      5   1.17   1255   1225   2702   2243   5857   7321   36.9  0.461   3377      7  0.000  0.000  0.000  0.000   0.52   0.00   0.58      0   3377     93.4   0.00   0.00   0.97   3.48   3.98   4.00   4.00   1.25   0.15   0.07   0.00   0.00   0.00      0      0      0       0    1603
 2003 191   135   134   22.0      5   1.16   1255   1225   2785   2261   5961   7321   38.0  0.467   3481      7  0.000  0.000  0.000  0.000   0.51   0.00   0.58      0   3481     92.2   0.00   0.00   0.98   3.47   3.98   4.00   4.00   1.36   0.18   0.07   0.00   0.00   0.00      0      0      0       0    1603
 2003 192   136   135   22.0      5   1.14   1255   1225   2858   2273   6052   7321   39.0  0.472   3572      7  0.000  0.000  0.000  0.000   0.49   0.00   0.59      0   3572     91.0   0.00   0.00   0.98   3.45   3.97   4.00   4.00   1.45   0.20   0.07   0.00   0.00   0.00      0      0      0       0    1716
 2003 193   137   136   22.0      5   1.13   1255   1225   2931   2288   6143   7321   40.0  0.477   3664      7  0.000  0.000  0.000  0.000   0.48   0.00   0.60      0   3664     89.8   0.00   0.00   0.99   3.44   3.96   4.00   4.00   1.56   0.23   0.08   0.00   0.00   0.00      0      0      0       0    1831
 2003 194   138   137   22.0      5   1.11   1255   1225   2989   2291   6216   7321   40.8  0.481   3736      7  0.000  0.000  0.000  0.000   0.46   0.00   0.60      0   3736     88.8   0.00   0.00   0.99   3.43   3.95   4.00   4.00   1.62   0.24   0.08   0.00   0.00   0.00      0      0      0       0    1945
 2003 195   139   138   22.0      5   1.10   1255   1225   3041   2292   6280   7321   41.5  0.484   3801      7  0.000  0.000  0.000  0.000   0.45   0.00   0.61      0   3801     87.8   0.00   0.00   1.00   3.41   3.93   4.00   4.00   1.67   0.25   0.08   0.00   0.00   0.00      0      0      0       0    2060
 2003 196   140   139   22.0      5   1.09   1255   1225   3105   2307   6360   7321   42.4  0.488   3881      7  0.000  0.000  0.000  0.000   0.44   0.00   0.61      0   3881     86.7   0.00   0.00   1.00   3.39   3.92   4.00   4.00   1.78   0.28   0.08   0.00   0.00   0.00      0      0      0       0    2175
 2003 197   141   140   22.0      5   1.07   1255   1225   3168   2324   6439   7321   43.3  0.492   3960      7  0.000  0.000  0.000  0.000   0.42   0.00   0.61      0   3960     85.5   0.00   0.00   1.01   3.38   3.91   4.00   4.00   1.91   0.31   0.08   0.00   0.00   0.00      0      0      0       0    2291
 2003 198   142   141   22.0      5   1.06   1255   1225   3211   2326   6494   7321   43.9  0.495   4014      7  0.000  0.000  0.000  0.000   0.40   0.00   0.62      0   4014     84.3   0.00   0.00   1.01   3.36   3.90   4.00   4.00   1.97   0.33   0.08   0.00   0.00   0.00      0      0      0       0    2408
 2003 199   143   142   22.0      5   1.04   1255   1225   3268   2344   6564   7321   44.6  0.498   4085      7  0.000  0.000  0.000  0.000   0.40   0.00   0.62      0   4085     83.2   0.00   0.00   1.02   3.35   3.89   4.00   4.00   2.10   0.36   0.08   0.00   0.00   0.00      0      0      0       0    2525
 2003 200   144   143   22.0      5   1.03   1255   1225   3313   2353   6620   7321   45.2  0.500   4141      7  0.000  0.000  0.000  0.000   0.38   0.00   0.63      0   4141     82.0   0.00   0.00   1.02   3.34   3.88   4.00   4.00   2.19   0.38   0.09   0.00   0.00   0.00      0      0      0       0    2642
 2003 201   145   144   22.0      6   1.03   1255   1225   3313   2353   6620   7321   45.2  0.500   4141      7  0.000  0.000  0.000  0.000   0.38   0.00   0.63      0   4141     82.0   0.00   0.00   1.02   3.33   3.87   4.00   4.00   2.28   0.41   0.09   0.00   0.00   0.00      0      0      0       0    2642
 2003 202   146   145   22.0      7   1.03   1255   1225   3313   2353   6620   7321   45.2  0.500   4141      7  0.000  0.000  0.000  0.000   0.51   0.00   0.63      0   4141     82.0   0.00   0.00   1.02   3.32   3.85   4.00   4.00   2.38   0.43   0.09   0.00   0.00   0.00      0      0      0       0    2642
