*GROWTH ASPECTS OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2003 076    20    19    3.7      1   0.00      2      0      0      1      3      0    0.0  0.000      0      0  0.000  0.000  0.524  0.000   2.09   0.00   0.00      0      0    178.6   0.00   0.00   0.22   0.27   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 077    21    20    4.0      1   0.00      3      0      0      1      3      0    0.0  0.000      0      0  0.000  0.000  0.566  0.000   1.94   0.00   0.00      0      0    180.4   0.00   0.00   0.23   0.27   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 078    22    21    4.3      1   0.00      3      0      0      1      3      0    0.0  0.000      0      0  0.000  0.000  0.616  0.000   1.81   0.00   0.00      0      0    181.1   0.00   0.00   0.24   0.27   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 079    23    22    4.6      1   0.01      3      0      0      1      3      0    0.0  0.000      0      0  0.000  0.000  0.659  0.000   1.70   0.00   0.00      0      0    180.9   0.00   0.00   0.25   0.26   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 080    24    23    4.9      1   0.01      3      0      0      1      4      0    0.0  0.000      0      0  0.000  0.000  0.698  0.000   1.62   0.00   0.00      0      0    178.6   0.00   0.00   0.26   0.26   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 081    25    24    5.1      1   0.01      3      0      0      1      4      0    0.0  0.000      0      0  0.000  0.000  0.723  0.000   1.57   0.00   0.00      0      0    175.1   0.00   0.00   0.27   0.26   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 082    26    25    5.3      1   0.01      3      0      0      1      4      0    0.0  0.000      0      0  0.000  0.000  0.739  0.000   1.53   0.00   0.00      0      0    171.0   0.00   0.00   0.27   0.26   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 083    27    26    5.5      1   0.01      3      0      0      1      4      0    0.0  0.000      0      0  0.000  0.000  0.750  0.000   1.50   0.00   0.00      0      0    166.8   0.00   0.00   0.28   0.26   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 084    28    27    5.7      1   0.01      4      0      0      1      4      0    0.0  0.000      0      0  0.000  0.000  0.759  0.000   1.46   0.00   0.00      0      0    162.9   0.00   0.00   0.29   0.26   0.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 085    29    28    6.0      1   0.01      4      0      0      1      4      0    0.0  0.000      0      0  0.000  0.000  0.768  0.000   1.43   0.00   0.00      0      0    158.9   0.00   0.00   0.29   0.26   0.05   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 086    30    29    6.2      1   0.01      4      0      0      2      4      0    0.0  0.000      0      0  0.000  0.000  0.775  0.000   1.41   0.00   0.00      0      0    154.7   0.00   0.00   0.30   0.26   0.05   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
