*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2003 109    53  18.30  25.50  16.90  4.361  0.883  0.248  0.635  0.000   88.2    1.4   86.8    0.0
 2003 110    54  23.20  27.30  17.40  5.660  0.989  0.392  0.597  0.000   89.2    1.8   87.4    0.0
 2003 111    55  11.90  25.20  17.00  2.819  0.814  0.249  0.565  0.000   90.0    2.1   88.0    0.0
 2003 112    56  28.20  23.40  13.80  6.363  1.176  0.639  0.538  0.000   91.2    2.7   88.5    0.0
 2003 113    57  28.30  23.00  10.80  6.185  1.250  0.736  0.514  0.000   92.5    3.5   89.0    0.0
 2003 114    58  21.10  23.50  11.40  4.656  1.132  0.639  0.493  0.000   93.6    4.1   89.5    0.0
 2003 115    59   6.20  19.50  16.80  1.358  1.358  0.214  1.145  0.000   94.9    4.3   90.6    0.0
 2003 116    60  26.30  24.80  15.50  6.079  5.253  1.014  4.239  0.000  100.2    5.3   94.9    0.0
 2003 117    61  25.40  26.40  12.80  5.841  3.609  1.136  2.474  0.000  103.8    6.5   97.4    0.0
 2003 118    62  28.10  27.50  15.40  6.664  2.858  1.469  1.390  0.000  106.7    7.9   98.7    0.0
 2003 119    63  24.60  28.80  15.60  5.913  2.565  1.480  1.085  0.000  109.2    9.4   99.8    0.0
 2003 120    64  26.30  28.70  17.10  6.367  5.021  1.790  3.231  0.000  114.3   11.2  103.1    0.0
 2003 121    65  24.90  30.50  19.50  6.240  4.273  1.951  2.322  0.000  118.5   13.1  105.4    0.0
 2003 122    66  27.40  30.40  16.00  6.661  5.947  2.316  3.631  0.000  124.5   15.5  109.0    0.0
 2003 123    67  13.80  25.80  15.60  3.163  3.163  1.195  1.968  0.000  127.6   16.7  111.0    0.0
 2003 124    68  26.10  29.90  16.30  6.289  4.315  2.530  1.785  0.000  132.0   19.2  112.8    0.0
 2003 125    69  23.70  29.50  20.40  5.844  3.754  2.515  1.239  0.000  135.7   21.7  114.0    0.0
 2003 126    70  22.50  31.10  22.30  5.705  3.636  2.627  1.009  0.000  139.3   24.3  115.0    0.0
 2003 127    71  21.90  30.80  22.20  5.515  3.413  2.699  0.714  0.000  142.8   27.0  115.7    0.0
 2003 128    72  23.50  30.60  20.90  5.835  3.195  3.021  0.174  0.000  145.9   30.0  115.9    0.0
 2003 129    73  27.10  31.40  20.70  6.760  3.781  3.671  0.110  0.000  149.7   33.7  116.0    0.0
 2003 130    74  26.80  31.60  21.10  6.702  3.864  3.802  0.062  0.000  153.6   37.5  116.1    0.0
 2003 131    75  25.70  32.80  21.10  6.494  3.875  3.834  0.040  0.000  157.5   41.4  116.1    0.0
 2003 132    76  28.00  27.10  17.20  6.445  4.279  3.946  0.333  0.000  161.7   45.3  116.4    0.0
 2003 133    77  28.00  27.20  12.90  6.231  4.229  3.906  0.322  0.000  166.0   49.2  116.8    0.0
 2003 134    78  18.50  28.70  14.60  4.240  2.192  2.176  0.016  0.000  168.2   51.4  116.8    0.0
 2003 135    79  17.90  28.50  19.60  4.249  2.069  2.057  0.012  0.000  170.2   53.4  116.8    0.0
 2003 136    80  19.20  31.80  20.80  4.764  2.872  1.960  0.913  0.000  173.1   55.4  117.7    0.0
 2003 137    81  26.40  31.30  21.20  6.532  2.521  1.941  0.580  0.000  175.6   57.3  118.3    0.0
 2003 138    82  21.90  31.10  20.00  5.363  1.970  1.966  0.004  0.000  177.6   59.3  118.3    0.0
 2003 139    83  16.00  28.00  19.50  3.774  3.774  2.435  1.339  0.000  181.4   61.7  119.6    0.0
 2003 140    84  15.80  25.00  17.00  3.527  3.366  2.166  1.201  0.000  184.7   63.9  120.8    0.0
 2003 141    85  20.40  27.60  18.30  4.735  1.936  1.227  0.709  0.000  186.7   65.1  121.5    0.0
 2003 142    86   3.90  22.00  18.20  0.848  0.568  0.561  0.007  0.000  187.2   65.7  121.6    0.0
 2003 143    87  14.20  24.70  18.00  3.182  3.182  2.115  1.066  0.000  190.4   67.8  122.6    0.0
 2003 144    88  26.70  29.10  15.80  6.184  6.147  4.166  1.981  0.000  196.6   72.0  124.6    0.0
 2003 145    89  25.30  30.30  17.80  6.023  4.045  2.134  1.911  0.000  200.6   74.1  126.5    0.0
 2003 146    90  21.70  29.50  20.00  5.199  2.286  1.577  0.709  0.000  202.9   75.7  127.2    0.0
 2003 147    91  18.70  26.90  17.40  4.272  1.074  1.047  0.027  0.000  204.0   76.7  127.2    0.0
 2003 148    92  29.70  27.40  14.10  6.659  0.963  0.948  0.015  0.000  204.9   77.7  127.3    0.0
 2003 149    93  27.00  29.30  15.30  6.255  0.859  0.850  0.010  0.000  205.8   78.5  127.3    0.0
 2003 150    94  28.30  28.80  13.90  6.458  0.846  0.839  0.007  0.000  206.6   79.4  127.3    0.0
 2003 151    95  27.20  32.10  18.30  6.665  0.824  0.820  0.004  0.000  207.5   80.2  127.3    0.0
 2003 152    96  27.30  29.60  17.50  6.480  0.848  0.845  0.002  0.000  208.3   81.0  127.3    0.0
 2003 153    97  28.00  31.40  16.20  6.724  0.956  0.956  0.001  0.000  209.3   82.0  127.3    0.0
 2003 154    98   7.30  25.60  19.80  1.690  0.920  0.920  0.000  0.000  210.2   82.9  127.3    0.0
 2003 155    99  20.90  30.80  20.50  5.152  5.152  3.001  2.151  0.000  215.3   85.9  129.4    0.0
 2003 156   100  26.80  30.70  20.50  6.600  5.837  3.844  1.993  0.000  221.2   89.8  131.4    0.0
 2003 157   101  10.50  29.10  21.40  2.558  2.558  1.490  1.068  0.000  223.7   91.2  132.5    0.0
 2003 158   102  13.50  28.90  21.60  3.286  3.286  1.914  1.372  0.000  227.0   93.2  133.9    0.0
 2003 159   103  20.00  30.90  22.50  5.006  4.822  2.916  1.905  0.000  231.9   96.1  135.8    0.0
 2003 160   104  27.00  32.20  22.70  6.862  6.862  3.997  2.865  0.000  238.7  100.1  138.6    0.0
 2003 161   105  24.90  33.30  21.50  6.348  5.259  3.698  1.562  0.000  244.0  103.8  140.2    0.0
 2003 162   106  25.00  32.60  22.50  6.371  4.871  3.711  1.159  0.000  248.8  107.5  141.4    0.0
 2003 163   107  23.80  33.50  21.60  6.084  5.784  3.544  2.240  0.000  254.6  111.0  143.6    0.0
 2003 164   108  19.00  32.10  21.30  4.776  4.618  2.782  1.835  0.000  259.2  113.8  145.4    0.0
 2003 165   109  19.70  31.00  21.60  4.905  4.905  2.857  2.048  0.000  264.1  116.7  147.5    0.0
 2003 166   110  27.50  33.50  20.90  6.996  6.033  4.075  1.958  0.000  270.2  120.7  149.4    0.0
