*PLANT N OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2003 105    49    48    0.8    0.0    0.8   0.00   4.96    0.8    0.8    0.0    5.0   4.96   1.46    0.00    0.00
 2003 106    50    49    1.1    0.0    1.1   0.00   4.90    1.1    1.1    0.0    4.9   4.90   1.50    0.00    0.00
 2003 107    51    50    1.5    0.0    1.5   0.00   4.86    1.6    1.5    0.1    4.9   4.86   1.54    0.00    0.00
 2003 108    52    51    2.0    0.0    2.0   0.00   4.83    2.1    1.9    0.1    4.8   4.83   1.53    0.00    0.00
 2003 109    53    52    2.5    0.0    2.5   0.00   4.61    2.5    2.3    0.1    4.6   4.61   1.47    0.00    0.01
 2003 110    54    53    3.3    0.0    3.3   0.00   4.70    3.5    3.1    0.2    4.7   4.70   1.56    0.00    0.01
 2003 111    55    54    3.5    0.0    3.5   0.00   4.22    3.6    3.2    0.2    4.2   4.22   1.34    0.00    0.02
 2003 112    56    55    4.3    0.0    4.3   0.00   4.33    4.8    4.0    0.3    4.3   4.33   2.04    0.00    0.02
 2003 113    57    56    4.9    0.0    4.9   0.00   4.20    5.7    4.6    0.4    4.2   4.20   1.89    0.00    0.04
 2003 114    58    57    5.7    0.0    5.7   0.00   4.15    6.5    5.3    0.5    4.1   4.15   1.53    0.00    0.04
 2003 115    59    58    5.7    0.0    5.7   0.00   3.88    6.5    5.3    0.5    3.9   3.88   1.49    0.00    0.04
 2003 116    60    59    7.3    0.0    7.3   0.00   4.16    8.4    6.7    0.6    4.2   4.16   1.61    0.00    0.04
 2003 117    61    60    8.2    0.0    8.2   0.00   4.02    9.6    7.5    0.7    4.0   4.02   1.59    0.00    0.10
 2003 118    62    61    9.5    0.0    9.5   0.00   4.00   11.3    8.7    0.8    4.0   4.00   1.59    0.00    0.10
 2003 119    63    62   10.7    0.0   10.7   0.00   3.93   12.8    9.8    0.9    3.9   3.93   1.47    0.00    0.20
 2003 120    64    63   12.0    0.0   12.0   0.00   3.86   14.7   11.0    1.0    3.9   3.86   1.49    0.00    0.31
 2003 121    65    64   13.6    0.0   13.6   0.00   3.83   16.6   12.4    1.2    3.8   3.83   1.42    0.00    0.31
 2003 122    66    65   14.6    0.0   14.6   0.00   3.70   18.5   13.4    1.3    3.7   3.70   1.48    0.00    0.46
 2003 123    67    66   15.4    0.0   15.4   0.00   3.58   18.8   14.0    1.3    3.6   3.58   1.22    0.00    0.65
 2003 124    68    67   16.8    0.0   16.8   0.00   3.57   21.7   15.3    1.5    3.6   3.57   1.43    0.00    0.65
 2003 125    69    68   18.3    0.0   18.3   0.00   3.54   23.6   16.7    1.6    3.5   3.54   1.35    0.00    0.89
 2003 126    70    69   21.2    0.0   21.2   0.00   3.60   26.6   19.3    1.9    3.6   3.60   1.27    0.00    0.89
 2003 127    71    70   23.0    0.0   23.0   0.00   3.49   28.9   20.9    2.0    3.5   3.49   1.27    0.00    1.17
 2003 128    72    71   24.6    0.0   24.6   0.00   3.39   31.4   22.4    2.2    3.4   3.39   1.30    0.00    1.46
 2003 129    73    72   26.4    0.0   26.4   0.00   3.32   34.4   24.0    2.4    3.3   3.32   1.34    0.00    1.80
 2003 130    74    73   28.1    0.0   28.1   0.00   3.25   37.0   25.5    2.6    3.2   3.25   1.31    0.00    2.20
 2003 131    75    74   29.8    0.0   29.8   0.00   3.18   39.5   27.0    2.8    3.2   3.18   1.29    0.00    2.63
 2003 132    76    75   30.3    0.0   30.3   0.00   3.06   41.6   27.4    2.9    3.1   3.06   1.33    0.00    3.11
 2003 133    77    76   30.8    0.0   30.8   0.00   2.98   43.1   27.9    3.0    3.0   2.98   1.27    0.00    3.66
 2003 134    78    77   31.3    0.0   31.3   0.00   2.94   43.6   28.2    3.1    2.9   2.94   1.21    0.00    4.26
 2003 135    79    78   31.9    0.0   31.9   0.00   2.91   44.6   28.7    3.2    2.9   2.91   1.19    0.00    4.86
 2003 136    80    79   32.2    0.0   32.2   0.00   2.85   45.3   28.9    3.3    2.8   2.85   1.17    0.00    5.47
 2003 137    81    80   32.2    0.0   32.2   0.00   2.79   45.7   28.9    3.3    2.8   2.79   1.16    0.00    6.10
 2003 138    82    81   32.6    0.0   32.6   0.00   2.76   47.2   29.2    3.4    2.8   2.76   1.21    0.00    6.75
 2003 139    83    82   34.0    0.0   34.0   0.00   2.74   48.3   30.2    3.8    2.7   2.74   1.14    0.00    7.45
 2003 140    84    83   34.8    0.0   34.8   0.00   2.64   49.2   30.0    4.8    2.6   2.64   1.12    0.00    8.13
 2003 141    85    84   34.8    0.0   34.8   0.00   2.59   49.2   29.7    5.1    2.6   2.59   1.10    0.00    8.13
 2003 142    86    85   34.8    0.0   34.8   0.00   2.53   49.2   29.4    5.4    2.5   2.53   1.10    0.00    8.13
 2003 143    87    86   34.8    0.0   34.8   0.00   2.40   49.2   28.6    6.2    2.4   2.40   1.08    0.00    8.13
 2003 144    88    87   33.8    0.0   33.8   0.00   2.21   51.0   26.9    6.8    2.2   2.21   1.21    0.00    8.82
 2003 145    89    88   35.0    0.0   35.0   0.00   2.16   52.9   27.1    7.9    2.2   2.16   1.19    0.00    9.64
 2003 146    90    89   35.0    0.0   35.0   0.00   2.14   52.9   26.8    8.2    2.1   2.14   1.16    0.00    9.64
 2003 147    91    90   35.0    0.0   35.0   0.00   2.12   52.9   26.6    8.4    2.1   2.12   1.14    0.00    9.64
 2003 148    92    91   35.0    0.0   35.0   0.00   2.11   52.9   26.5    8.5    2.1   2.11   1.13    0.00    9.64
 2003 149    93    92   35.0    0.0   35.0   0.00   2.10   52.9   26.4    8.6    2.1   2.10   1.11    0.00    9.64
