*SOIL NITROGEN DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2003 149    93   116     3     2.2   70.8       2   70.1    0.8  28.9  31.7   3.2   1.3   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.09  0.09  0.00    1.72   64.11    0.20    0.42    0.84
 2003 150    94   116     3     2.2   70.8       2   70.1    0.8  28.9  31.7   3.2   1.3   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.09  0.09  0.00    1.73   64.13    0.20    0.42    0.84
 2003 151    95   116     3     2.2   70.8       2   70.1    0.7  28.9  31.7   3.3   1.4   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.09  0.09  0.00    1.73   64.14    0.20    0.42    0.84
 2003 152    96   116     3     2.2   70.8       2   70.1    0.7  28.9  31.7   3.3   1.4   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.09  0.09  0.00    1.73   64.16    0.20    0.42    0.84
 2003 153    97   116     3     2.2   70.8       2   70.1    0.7  28.9  31.7   3.3   1.4   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.0   0.0   0.0   0.0  0.00  0.00  0.09  0.09  0.00    1.73   64.18    0.20    0.42    0.84
 2003 154    98   116     3     2.2   70.8       2   70.1    0.7   8.8  41.7   3.3   1.4   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.0   0.0   0.0   0.0  0.00  0.00  0.09  0.09  0.00    1.74   64.20    0.20    0.42    0.84
 2003 155    99   116     3     2.2   70.9       2   70.2    0.7   7.8  42.0   3.5   1.4   0.6   1.1   0.7   0.8   0.7   0.0   0.1   0.1   0.0   0.0   0.0  0.00  0.00  0.09  0.08  0.00    1.80   64.22    0.20    0.42    0.84
 2003 156   100   116     3     2.2   71.0       2   70.3    0.7   7.3  42.0   3.8   1.4   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.08  0.08  0.00    1.90   64.32    0.20    0.42    0.87
 2003 157   101   116     3     2.2   71.0       2   70.3    0.8   2.1  38.4  10.0   1.4   0.6   1.1   0.7   0.8   0.7   0.0   0.1   0.1   0.0   0.0   0.0  0.00  0.00  0.08  0.08  0.00    1.98   64.35    0.20    0.42    0.87
 2003 158   102   116     3     2.2   71.2       2   70.4    0.8   0.8  22.8  24.2   4.2   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.08  0.08  0.00    2.13   64.45    0.20    0.42    0.91
 2003 159   103   116     3     2.2   71.3       2   70.4    0.8   0.8  19.7  20.5  12.6   0.6   1.1   0.7   0.8   0.8   0.0   0.1   0.2   0.0   0.0   0.0  0.00  0.00  0.08  0.08  0.00    2.26   64.50    0.21    0.42    0.92
 2003 160   104   116     3     2.2   71.4       2   70.6    0.8   0.9  17.8  18.6  17.3   0.7   1.1   0.7   0.8   0.8   0.0   0.0   0.2   0.0   0.0   0.0  0.00  0.00  0.08  0.08  0.00    2.43   64.65    0.21    0.42    0.94
 2003 161   105   116     3     2.2   71.6       2   70.7    0.9   0.9  16.7  19.7  17.3   0.8   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.0   0.0   0.0  0.00  0.00  0.08  0.08  0.00    2.61   64.77    0.21    0.42    0.95
 2003 162   106   116     3     2.2   71.7       2   70.9    0.8   1.0  16.0  20.4  17.3   0.9   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.0   0.0   0.0  0.00  0.00  0.07  0.08  0.00    2.78   64.95    0.22    0.42    0.98
 2003 163   107   116     3     2.2   71.9       2   71.0    0.9   1.0  15.7  20.5  17.4   1.0   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.07  0.07  0.00    2.96   65.09    0.23    0.42    0.98
 2003 164   108   116     3     2.2   72.1       3   71.2    0.9   0.9  15.8  20.4  17.5   1.1   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.07  0.07  0.00    3.14   65.28    0.23    0.42    1.00
 2003 165   109   116     3     2.2   72.3       3   71.4    0.9   0.8  15.8  20.4  17.6   1.2   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.07  0.07  0.00    3.36   65.46    0.23    0.42    1.00
 2003 166   110   116     3     2.2   72.4       3   71.6    0.8   1.0  15.7  20.4  17.8   1.2   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.07  0.07  0.00    3.57   65.71    0.23    0.42    1.04
 2003 167   111   116     3     2.2   72.6       3   71.8    0.8   0.3  13.0  23.5  17.9   1.3   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.06  0.07  0.00    3.74   65.85    0.23    0.42    1.04
 2003 168   112   116     3     2.2   72.8       3   72.0    0.8   0.3  10.3  24.2  20.6   1.3   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.06  0.07  0.00    3.91   66.05    0.23    0.42    1.04
 2003 169   113   116     3     2.2   72.9       3   72.1    0.8   0.3   9.1  23.0  23.7   1.3   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.06  0.07  0.00    4.08   66.18    0.23    0.42    1.05
 2003 170   114   116     3     2.2   73.1       3   72.2    0.9   0.3   8.1  21.6  26.6   1.4   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.06  0.07  0.00    4.23   66.32    0.23    0.42    1.05
 2003 171   115   116     3     2.2   73.3       3   72.4    0.8   0.4   7.4  20.3  29.0   1.6   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.06  0.07  0.00    4.40   66.50    0.23    0.42    1.05
 2003 172   116   116     3     2.2   73.4       3   72.6    0.8   0.4   6.7  17.6  26.1   6.1   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.06  0.06  0.00    4.58   66.68    0.26    0.42    1.06
 2003 173   117   116     3     2.2   73.6       3   72.7    0.8   0.5   6.4  16.0  25.7   7.8   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.06  0.06  0.00    4.76   66.89    0.28    0.42    1.06
 2003 174   118   116     3     2.2   73.6       3   72.8    0.8   0.6   6.1  15.2  26.4   8.2   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.05  0.06  0.00    4.93   67.07    0.30    0.42    1.06
 2003 175   119   116     3     2.2   72.7       3   71.9    0.8   0.6   5.9  14.8  26.1   8.3   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.05  0.06  0.00    5.08   67.24    0.30    0.42    1.07
 2003 176   120   116     3     2.2   71.7       3   71.0    0.8   0.6   5.8  14.4  25.8   8.3   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.05  0.06  0.00    5.24   67.40    0.30    0.42    1.07
 2003 177   121   116     3     2.2   70.5       4   69.8    0.7   0.7   5.6  13.9  25.5   8.2   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.05  0.06  0.00    5.37   67.57    0.30    0.42    1.07
 2003 178   122   116     3     2.2   69.4       4   68.6    0.7   0.7   5.4  13.5  25.1   8.1   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.05  0.06  0.00    5.49   67.71    0.30    0.42    1.07
 2003 179   123   116     3     2.2   68.2       4   67.5    0.7   0.7   5.2  13.1  24.6   8.1   1.1   0.6   0.8   0.8   0.0   0.0   0.1   0.1   0.0   0.0  0.00  0.00  0.05  0.06  0.00    5.59   67.83    0.30    0.42    1.07
 2003 180   124   116     3     2.2   68.2       4   67.6    0.7   0.8   5.3  13.2  24.5   8.1   1.1   0.6   0.8   0.8   0.0   0.0   0.1   0.1   0.0   0.0  0.00  0.00  0.05  0.06  0.00    5.68   67.94    0.30    0.42    1.07
 2003 181   125   116     3     2.2   67.7       4   67.1    0.7   0.3   5.5  13.2  24.2   8.0   1.1   0.6   0.8   0.8   0.0   0.0   0.1   0.1   0.0   0.0  0.00  0.00  0.04  0.06  0.00    5.79   68.04    0.30    0.42    1.07
 2003 182   126   116     3     2.2   66.7       4   66.0    0.7   0.2   3.6  14.7  23.7   7.9   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.04  0.06  0.00    5.97   68.18    0.30    0.42    1.08
 2003 183   127   116     3     2.2   66.9       4   66.1    0.8   0.2   3.2  14.3  24.9   7.9   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.04  0.05  0.00    6.13   68.29    0.30    0.42    1.08
 2003 184   128   116     3     2.2   65.7       4   65.0    0.8   0.2   1.7   9.6  28.3   9.9   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.04  0.05  0.00    6.30   68.44    0.30    0.42    1.08
 2003 185   129   116     3     2.2   64.2       4   63.4    0.8   0.2   1.4   8.1  26.1  11.6   1.1   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.04  0.05  0.00    6.46   68.56    0.30    0.42    1.09
 2003 186   130   116     3     2.2   63.7       4   62.9    0.8   0.3   1.3   7.1  24.1  13.3   1.1   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.00  0.00  0.04  0.05  0.00    6.63   68.73    0.30    0.42    1.09
 2003 187   131   116     3     2.2   62.1       4   61.3    0.8   0.4   1.2   6.0  21.8  14.4   1.3   0.6   0.8   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.00  0.00  0.04  0.05  0.00    6.83   68.92    0.31    0.42    1.09
 2003 188   132   116     3     2.2   62.0       4   61.3    0.8   0.5   1.2   5.2  17.9  13.6   4.4   0.6   0.8   0.8   0.0   0.0   0.2   0.1   0.1   0.0  0.00  0.00  0.04  0.05  0.00    7.03   69.16    0.32    0.42    1.10
 2003 189   133   116     3     2.2   61.2       4   60.5    0.8   0.5   1.1   4.6  15.1  13.1   5.9   1.1   0.8   0.8   0.0   0.0   0.2   0.1   0.1   0.0  0.00  0.00  0.04  0.05  0.00    7.23   69.37    0.36    0.42    1.10
 2003 190   134   116     3     2.2   59.4       4   58.7    0.7   0.5   1.0   3.9  13.1  12.7   6.6   1.3   0.8   0.8   0.0   0.0   0.2   0.1   0.1   0.0  0.00  0.00  0.04  0.05  0.00    7.42   69.58    0.38    0.42    1.10
 2003 191   135   116     3     2.2   58.7       5   58.0    0.7   0.6   1.0   3.6  12.3  12.7   6.7   1.4   0.9   0.8   0.0   0.0   0.2   0.1   0.1   0.0  0.00  0.00  0.03  0.05  0.00    7.62   69.78    0.39    0.42    1.10
 2003 192   136   116     3     2.2   57.6       5   56.9    0.7   0.6   1.0   3.3  11.8  12.5   6.7   1.4   0.9   0.8   0.0   0.0   0.2   0.1   0.1   0.0  0.00  0.00  0.03  0.05  0.00    7.82   69.98    0.39    0.42    1.11
 2003 193   137   116     3     2.2   57.0       5   56.3    0.7   0.6   1.0   3.2  11.6  12.3   6.7   1.4   0.9   0.8   0.0   0.0   0.1   0.1   0.1   0.0  0.00  0.00  0.03  0.05  0.00    7.99   70.18    0.39    0.42    1.11
 2003 194   138   116     3     2.2   55.8       5   55.1    0.7   0.7   1.0   3.0  11.3  12.1   6.7   1.4   0.9   0.8   0.0   0.0   0.1   0.1   0.1   0.0  0.00  0.00  0.03  0.05  0.00    8.16   70.36    0.39    0.42    1.11
 2003 195   139   116     3     2.2   55.3       5   54.6    0.7   0.7   1.0   3.0  11.1  11.9   6.6   1.4   0.9   0.8   0.0   0.0   0.1   0.1   0.1   0.0  0.00  0.00  0.03  0.05  0.00    8.30   70.53    0.39    0.42    1.11
 2003 196   140   116     3     2.2   54.5       5   53.9    0.6   0.7   0.9   2.9  10.9  11.7   6.6   1.3   0.9   0.8   0.0   0.0   0.1   0.1   0.1   0.0  0.00  0.00  0.03  0.04  0.00    8.44   70.67    0.39    0.42    1.11
 2003 197   141   116     3     2.2   52.8       5   52.2    0.6   0.7   0.8   2.6  10.3  11.3   6.5   1.3   0.9   0.8   0.0   0.0   0.1   0.1   0.1   0.0  0.00  0.00  0.03  0.04  0.00    8.56   70.80    0.39    0.42    1.11
 2003 198   142   116     3     2.2   51.6       5   51.0    0.6   0.1   1.1   2.5   9.9  10.9   6.5   1.3   0.9   0.8   0.0   0.0   0.1   0.1   0.1   0.0  0.01  0.00  0.03  0.04  0.00    8.67   70.92    0.39    0.42    1.12
 2003 199   143   116     3     2.2   51.3       5   50.6    0.7   0.1   1.0   2.6   9.8  10.8   6.5   1.3   0.9   0.8   0.0   0.1   0.2   0.1   0.1   0.0  0.01  0.00  0.03  0.04  0.00    8.88   71.06    0.39    0.42    1.12
 2003 200   144   116     3     2.2   49.7       5   49.0    0.7   0.3   0.9   2.4   9.4  10.3   6.4   1.3   0.9   0.8   0.0   0.0   0.2   0.1   0.1   0.0  0.01  0.00  0.03  0.04  0.00    9.12   71.32    0.39    0.42    1.12
 2003 201   145   116     3     2.2   49.1       5   48.4    0.7   0.3   0.9   2.3   9.2  10.1   6.4   1.3   0.9   0.8   0.0   0.1   0.2   0.1   0.0   0.0  0.01  0.00  0.03  0.04  0.00    9.37   71.53    0.39    0.42    1.12
 2003 202   146   116     3     2.2   48.5       6   47.8    0.7   0.5   0.9   2.3   9.0   9.9   6.3   1.3   0.9   0.8   0.0   0.0   0.2   0.1   0.0   0.0  0.01  0.00  0.03  0.04  0.00    9.60   71.79    0.39    0.42    1.12
