FR 	80.7	76.2	4.1	4.3	14.6	19.4
FR 	69.8	60.3	7.7	7.9	22.5	31.5
FR 	23.9	21	18.9	16.9	57.2	61.9
FX	52.6	47.2	7.8	6.8	39.5	45.9
FX 	79	68.6	5.8	6.3	14.8	24.7
FX 	72.9	62.3	5.9	6.7	21.3	31
FX 	8.6	7.5	8.9	7.4	82.4	85
G	32.9	44.3	23.7	19.7	43.4	37
GD	18.9	33.9	21.8	18	59.3	48.2
GD 	-1	-1	-1	-1	-1	-1
GD 	51.3	53.6	28.1	28.1	20.7	18.3
GD 	11.8	30.5	20.5	14.4	67.7	55.1
GE	42.8	50.3	20.4	18.4	36.8	32.9
GE 	82.1	83.2	6.5	4.5	11.4	12.3
GE 	51	49.9	24.2	22	28.2	31.5
GE 	25.5	38.1	23.1	19.7	51.3	42.3
GH	40.5	32.6	30.3	27.9	29.2	39.5
GH 	-1	-1	-1	-1	-1	-1
GH 	55.8	46.7	31.7	31.4	12.6	22
GH 	25.2	18.6	29	24.5	45.9	57.1
GK	31.8	46.3	18	14.9	50.2	38.7
GK 	-1	-1	-1	-1	-1	-1
GK 	63.6	65.6	7.7	3.2	28.7	31.2
GK 	25.6	41.8	21	17.6	53.4	40.5
GM	26.4	50.2	25.9	16.2	47.7	35.7
GM 	81.5	89.4	8.2	5.8	10.4	4.8
GM 	41.4	57.4	38.4	20	26.6	33.8
GM 	20.5	45.6	25	16.1	54.5	38.4
GP	17.9	22.9	51.9	40.4	30.1	36.8
GP 	-1	-1	-1	-1	-1	-1
GP 	24.1	24.1	57.1	49.9	18.8	25.9
GP 	8.6	21	44.1	26	47	53.1
GX	-1	-1	-1	-1	-1	-1
GX 	-1	-1	-1	-1	-1	-1
GX 	-1	-1	-1	-1	-1	-1
GX 	-1	-1	-1	-1	-1	-1
H	37.3	52	25.7	20.5	37	27.5
HC	40.8	40.8	22.5	25.7	36.8	33.4
HC 	-1	-1	-1	-1	-1	-1
HC 	56.9	56.8	23	21.2	20.2	22
HC 	8.5	8.8	21.5	34.9	70	56.3
HG	34.6	65.2	22.2	13.8	43.3	21
HG 	83	90.8	6.6	3.3	10.3	5.9
HG 	64.1	74.8	11.7	5.5	24.2	19.7
HG 	13	56.2	29.5	19.3	57.6	24.6
HH	37.2	46	31.2	26.7	31.6	27.4
HH 	-1	-1	-1	-1	-1	-1
HH 	45.5	55.7	30.9	24.7	23.6	19.7
HH 	20.7	26.5	31.9	30.8	47.5	42.8
HL	39.1	46.9	26.5	20.7	34.6	32.4
HL 	-1	-1	-1	-1	-1	-1
HL 	43.5	53.4	31.2	27.8	25.5	18.8
HL 	33.2	38.3	20.2	11.2	46.6	50.5
I	58.9	-1	16.2	-1	24.9	-1
I	58.9	-1	16.2	-1	24.9	-1
I  	-1	-1	-1	-1	-1	-1
I  	-1	-1	-1	-1	-1	-1
I  	-1	-1	-1	-1	-1	-1
J	55.8	52.7	22.2	23.5	22	23.8
JC	39.6	41.7	39.9	39.8	20.6	18.5
JC 	68.9	62.9	16.7	20.1	14.4	17
JC 	20.9	36.4	54	44.8	25.2	18.9
JC 	-1	-1	-1	-1	-1	-1
JD	35.9	33.9	39.4	37.2	24.8	28.9
JD 	79.5	85.9	13.5	9.3	7	4.8
JD 	32.5	25.7	44.1	42.9	23.5	31.5
JD 	2.3	6.8	51.3	48.2	46.5	45.1
